/* DATA DESCRIPTION:
Citation:	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Sortable silt mean grain size of sediment core RAPiD-17-5P [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899381, 
	Supplement to: Moffa-Sanchez, P et al. (2015): Changes in the strength of the Nordic Seas Overflows over the past 3000 years. Quaternary Science Reviews, 123, 134-143, https://doi.org/10.1016/j.quascirev.2015.06.007
Abstract:	Changes in the vigour of the overflows may have had important climatic effects in the past and may also have in the future. We present sortable silt mean grain size data, as a proxy for near-bottom current speed, from sub-decadal to decadally resolved sediment cores located in the direct pathway of the two Nordic Overflows east and west of Iceland, the Iceland-Scotland Overflow Water (ISOW) and the Denmark Strait Overflow Water (DSOW) spanning the last 3000-4000 years. The cores were recovered from the South Iceland Rise (RAPiD-17-5P) and the Eirik Drift (RAPiD-35-COM) and their core-chronologies were constructed using radiocarbon dating. The sortable silt was measured using the Multisizer Coulter Counter 3 and the data presented consisted of the average of three different measurements.
Keyword(s):	Nordic Overflow strength
Related to:	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Radiocarbon age model of sediment core RAPiD-35-14P [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899838
	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Sortable silt mean grain size of sediment core RAPiD-35-COM [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899382
Coverage:	LATITUDE: 61.466000 * LONGITUDE: -19.533000
	MINIMUM DEPTH, sediment/rock: 0.0125 m * MAXIMUM DEPTH, sediment/rock: 2.2375 m
Event(s):	RAPiD-17-5P (CD159-17) * LATITUDE: 61.466000 * LONGITUDE: -19.533000 * ELEVATION: -2303.0 m * RECOVERY: 14.41 m * LOCATION: South of Iceland * CAMPAIGN: CD159 (URI: http://publications.esc.cam.ac.uk:8080/1521/) * BASIS: Charles Darwin * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * COMMENT: Mid-depth
	AGE [ka BP] (Age) * GEOCODE * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * METHOD/DEVICE: Age, 14C AMS, linear interpolation * COMMENT: See Moffa-Sanchez et al. (2014a): doi:10.1038/ngeo2094
	Sortable-silt mean size, average [µm] (SS avg) * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * METHOD/DEVICE: Sortable silt mean grain size analysis (McCave et al., 1995) (URI: https://doi.org/10.1029/94pa03039)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	439 data points
*/
Depth sed [m]	Age [ka BP]	SS avg [µm]
0.7475	1.06920	33.60
0.7525	1.07540	34.40
0.7575	1.08161	34.20
0.7625	1.08782	34.00
0.7675	1.09403	32.70
0.7725	1.10024	32.40
0.7775	1.10644	34.20
0.7825	1.11265	35.00
0.7875	1.11886	35.00
0.7925	1.12507	33.10
0.7975	1.13128	32.70
0.8025	1.13748	33.90
0.8075	1.14369	34.90
0.8225	1.16232	34.10
0.8275	1.16852	34.90
0.8325	1.17473	33.20
0.8375	1.18094	32.90
0.8425	1.18715	32.70
0.8475	1.19336	33.50
0.8525	1.19956	34.10
0.8575	1.20577	33.80
0.8625	1.21198	33.50
0.8675	1.21819	30.90
0.8725	1.22440	32.30
0.8775	1.23060	32.10
0.8825	1.23681	31.70
0.8875	1.24302	32.70
0.8925	1.24923	33.20
0.8975	1.25544	31.80
0.9025	1.26164	32.20
0.9075	1.26785	33.30
0.9125	1.27406	32.50
0.9175	1.28027	32.70
0.9225	1.28648	30.60
0.9275	1.29268	32.60
0.9325	1.29889	32.90
0.9375	1.30510	34.10
0.9425	1.31131	34.20
0.9475	1.31752	33.30
0.9525	1.32372	32.30
0.9575	1.32993	32.60
0.9725	1.34856	32.70
0.9775	1.35476	32.70
0.9825	1.36097	34.30
0.9875	1.36718	34.20
0.9925	1.37339	34.10
0.9975	1.37960	33.30
1.0025	1.38580	34.30
1.0075	1.39201	32.80
1.0125	1.39822	32.40
1.0175	1.40443	33.30
1.0225	1.41064	35.30
1.0275	1.41684	34.00
1.0325	1.42305	32.10
1.0375	1.42926	34.00
1.0425	1.43547	35.10
1.0475	1.44168	34.30
1.0525	1.44788	33.50
1.0575	1.45409	35.20
1.0625	1.46030	33.30
1.0675	1.46651	35.80
1.0725	1.47272	33.80
1.0775	1.47892	29.80
1.0825	1.48513	33.20
1.0875	1.49134	34.80
1.0925	1.49755	32.30
1.0975	1.50376	36.20
1.1025	1.50996	34.80
1.1075	1.51617	33.60
1.1125	1.52238	34.30
1.1175	1.52859	34.80
1.1225	1.53480	34.00
1.1275	1.54100	33.20
1.1325	1.54721	34.40
1.1375	1.55342	33.20
1.1425	1.55963	32.40
1.1475	1.56584	33.40
1.1525	1.57204	32.40
1.1575	1.57825	32.00
1.1625	1.58446	33.70
1.1675	1.59067	32.00
1.1725	1.59688	30.70
1.1775	1.60308	30.90
1.1825	1.60929	33.80
1.1875	1.61550	32.20
1.1925	1.62171	31.10
1.1975	1.62792	32.60
1.2025	1.63412	28.90
1.2075	1.64033	31.70
1.2125	1.64654	33.10
1.2175	1.65275	32.60
1.2225	1.65896	31.80
1.2275	1.66516	32.50
1.2325	1.67137	32.70
1.2375	1.67758	32.60
1.2425	1.68379	28.70
1.2475	1.69000	31.70
1.2525	1.69620	30.70
1.2575	1.70241	31.30
1.2625	1.70862	30.00
1.2675	1.71483	31.70
1.2725	1.72104	33.40
1.2775	1.72724	31.30
1.2825	1.73345	35.00
1.2875	1.73966	34.30
1.2925	1.74587	31.10
1.2975	1.75208	31.70
1.3025	1.75828	27.50
1.3075	1.76449	33.40
1.3125	1.77070	30.10
1.3175	1.77691	33.10
1.3225	1.78312	30.10
1.3275	1.78932	30.90
1.3325	1.79553	30.00
1.3375	1.80174	32.60
1.3425	1.80795	31.00
1.3475	1.81416	29.20
1.3525	1.82036	31.70
1.3575	1.82657	31.30
1.3625	1.83278	32.40
1.3675	1.83899	32.90
1.3725	1.84520	30.10
1.3775	1.85140	30.90
1.3825	1.85761	33.50
1.3875	1.86382	33.50
1.3925	1.87003	33.70
1.3975	1.87624	32.70
1.4025	1.88244	33.10
1.4075	1.88865	33.60
1.4125	1.89486	34.60
1.4175	1.90107	33.50
1.4225	1.90728	35.20
1.4275	1.91348	30.50
1.4325	1.91969	32.20
1.4375	1.92590	30.50
1.4425	1.93211	32.80
1.4475	1.93832	34.10
1.4525	1.94452	31.10
1.4575	1.95073	30.40
1.4625	1.95694	32.70
1.4675	1.96315	33.90
1.4725	1.96936	33.60
1.4775	1.97556	32.30
1.4825	1.98177	32.30
1.4875	1.98798	33.60
1.4925	1.99419	34.40
1.5025	2.00660	34.94
1.5075	2.01281	35.35
1.5125	2.01902	33.81
1.5175	2.02523	34.45
1.5225	2.03144	34.75
1.5275	2.03764	34.14
1.5325	2.04385	30.86
1.5375	2.05006	32.30
1.5425	2.05627	32.34
1.5475	2.06248	31.88
1.5525	2.06868	28.79
1.5575	2.07489	31.33
1.5625	2.08110	33.35
1.5675	2.08731	34.39
1.5725	2.09352	34.65
1.5775	2.09972	35.24
1.5825	2.10593	33.13
1.5875	2.11214	32.76
1.5925	2.11835	34.06
1.5975	2.12456	35.38
1.6025	2.13076	35.67
1.6075	2.13697	34.58
1.6125	2.14318	33.06
1.6175	2.14939	33.70
1.6225	2.15560	32.60
1.6275	2.16180	32.62
1.6325	2.16801	33.87
1.6375	2.17422	34.52
1.6425	2.18043	34.84
1.6475	2.18664	34.97
1.6525	2.19284	35.09
1.6575	2.19905	33.22
1.6625	2.20526	33.65
1.6675	2.21147	34.15
1.6750	2.22078	33.99
1.6875	2.23630	32.36
1.6925	2.24251	29.84
1.6975	2.24872	29.58
1.7025	2.25492	32.36
1.7075	2.26113	32.97
1.7125	2.26734	33.00
1.7175	2.27355	29.53
1.7225	2.27976	32.38
1.7275	2.28596	32.48
1.7325	2.29217	32.52
1.7375	2.29838	32.43
1.7425	2.30459	33.10
1.7475	2.31080	29.31
1.7525	2.31700	31.82
1.7575	2.32321	33.67
1.7625	2.32942	33.53
1.7675	2.33563	34.88
1.7725	2.34184	35.85
1.7775	2.34804	34.44
1.7825	2.35425	33.47
1.7875	2.36046	34.15
1.7925	2.36667	34.60
1.7975	2.37288	33.46
1.8025	2.37908	31.71
1.8075	2.38529	34.55
1.8125	2.39150	34.22
1.8175	2.39771	31.10
1.8225	2.40392	32.38
1.8275	2.41012	35.11
1.8325	2.41633	32.19
1.8375	2.42254	32.03
1.8425	2.42875	33.88
1.8475	2.43496	34.59
1.8525	2.44116	33.35
1.8575	2.44737	31.22
1.8625	2.45358	33.72
1.8675	2.45979	29.02
1.8725	2.46600	33.66
1.8775	2.47220	34.52
1.8825	2.47841	31.93
1.8875	2.48462	35.60
1.8925	2.49083	33.96
1.8975	2.49704	34.81
1.9025	2.50324	33.58
1.9075	2.50945	32.70
1.9125	2.51566	33.79
1.9175	2.52187	34.45
1.9225	2.52808	34.97
1.9275	2.53428	34.71
1.9325	2.54049	33.43
1.9375	2.54670	32.54
1.9425	2.55291	32.47
1.9475	2.55912	33.64
1.9525	2.56532	34.40
1.9575	2.57153	31.46
1.9625	2.57774	32.33
1.9675	2.58395	32.73
1.9725	2.59016	33.02
1.9775	2.59636	33.19
1.9825	2.60257	34.56
1.9875	2.60878	32.00
1.9925	2.61499	33.96
1.9975	2.62120	34.72
2.0025	2.62740	31.78
2.0075	2.63361	33.68
2.0125	2.63982	35.43
2.0175	2.64603	33.90
2.0225	2.65224	34.61
2.0275	2.65844	34.82
2.0325	2.66465	33.28
2.0375	2.67086	32.30
2.0425	2.67707	33.36
2.0475	2.68328	32.71
2.0525	2.68948	33.49
2.0575	2.69569	32.55
2.0625	2.70190	34.06
2.0675	2.70811	33.83
2.0725	2.71432	32.62
2.0775	2.72052	32.07
2.0825	2.72673	33.91
2.0875	2.73294	33.04
2.0925	2.73915	32.00
2.0975	2.74536	30.96
2.1025	2.75156	32.82
2.1075	2.75777	33.31
2.1125	2.76398	33.31
2.1175	2.77019	33.69
2.1225	2.77640	32.80
2.1275	2.78260	34.16
2.1325	2.78881	34.87
2.1375	2.79502	34.89
2.1425	2.80123	33.46
2.1475	2.80744	33.93
2.1525	2.81364	34.56
2.1575	2.81985	33.96
2.1625	2.82606	34.29
2.1675	2.83227	34.18
2.1725	2.83848	34.77
2.1775	2.84468	34.09
2.1825	2.85089	34.84
2.1875	2.85710	34.16
2.1925	2.86331	32.41
2.1975	2.86952	34.50
2.2025	2.87572	30.62
2.2075	2.88193	33.20
2.2125	2.88814	34.30
2.2175	2.89435	34.94
2.2225	2.90056	33.89
2.2275	2.90676	33.30
2.2325	2.91297	32.53
2.2375	2.91918	33.49
