/* DATA DESCRIPTION:
Citation:	Mjell, Tor Lien; Ninnemann, Ulysses S; Eldevik, Tor; Kleiven, Helga F (2019): Sortable silt record of sediment core GS06-144-08GC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899461
Abstract:	The Nordic Seas overflows are an important part of the Atlantic thermohaline circulation. While there is growing evidence that the overflow of dense water changed on orbital time scales during the Holocene, less is known about the variability on shorter time scales beyond the instrumental record. Here we reconstruct the relative changes in flow strength of Iceland-Scotland Overflow Water (ISOW), the eastern branch of the overflows, on multidecadal-millennial time scales. The reconstruction is based on mean sortable silt (SS) from a sediment core on the Gardar Drift (60°19′N, 23°58′W, 2081 m). Our SS record reveals that the main variance in ISOW vigor occurred on millennial time scales (1-2 kyr) with particularly prominent fluctuations after 8 kyr. Superimposed on the millennial variability, there were multidecadal-centennial flow speed fluctuations during the early Holocene (10-9 kyr) and one prominent minimum at 0.9 kyr. We find a broad agreement between reconstructed ISOW and regional North Atlantic climate, where a strong (weak) ISOW is generally associated with warm (cold) climate. We further identify the possible contribution of anomalous heat and freshwater forcing, respectively, related to reconstructed overflow variability. We infer that ocean poleward heat transport can explain the relationship between regional climate and ISOW during the middle to late Holocene, whereas freshwater input provides a possible explanation for the reduced overflow during early Holocene (8-10 kyr).
Keyword(s):	AMOC; AMV; ISOW; NAC; Norwegian Atlantic Current; THC
Related to:	Mjell, Tor Lien; Ninnemann, Ulysses S; Eldevik, Tor; Kleiven, Helga F (2015): Holocene multidecadal- to millennial-scale variations in Iceland-Scotland overflow and their relationship to climate. Paleoceanography, 30(5), 558-569, https://doi.org/10.1002/2014PA002737
Coverage:	LATITUDE: 53.538780 * LONGITUDE: -23.966670
	MINIMUM DEPTH, sediment/rock: 0.0050 m * MAXIMUM DEPTH, sediment/rock: 4.8050 m
Event(s):	GS06-144-08GC * LATITUDE: 53.538780 * LONGITUDE: -23.966670 * ELEVATION: -2081.0 m * METHOD/DEVICE: Gravity corer (GC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Mjell, Tor Lien (mr.mjell@gmail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Mjell, Tor Lien (mr.mjell@gmail.com)
	Sortable-silt mean size, average [µm] (SS avg) * PI: Mjell, Tor Lien (mr.mjell@gmail.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	867 data points
*/
Depth sed [m]	Age [ka BP]	SS avg [µm]
0.4800	1.0380	19.59
0.4850	1.0450	19.83
0.4900	1.0530	19.67
0.4950	1.0600	19.98
0.5000	1.0670	19.67
0.5050	1.0750	19.44
0.5100	1.0820	19.50
0.5150	1.0890	20.65
0.5200	1.0960	19.95
0.5250	1.1040	19.75
0.5300	1.1110	19.59
0.5350	1.1180	19.81
0.5400	1.1260	19.54
0.5450	1.1330	19.48
0.5500	1.1400	19.17
0.5550	1.1480	19.31
0.5600	1.1550	19.25
0.5650	1.1620	19.29
0.5700	1.1700	19.59
0.5750	1.1770	19.47
0.5800	1.1840	19.65
0.5850	1.1920	19.88
0.5900	1.1990	19.58
0.5950	1.2060	18.98
0.6000	1.2130	19.90
0.6050	1.2210	19.39
0.6100	1.2280	19.35
0.6150	1.2350	19.73
0.6200	1.2430	19.92
0.6250	1.2500	19.57
0.6300	1.2570	19.17
0.6350	1.2650	19.11
0.6400	1.2720	19.13
0.6450	1.2790	19.56
0.6500	1.2870	19.35
0.6550	1.2940	19.08
0.6600	1.3010	19.40
0.6650	1.3090	19.49
0.6700	1.3160	19.08
0.6750	1.3230	19.40
0.6800	1.3310	19.66
0.6850	1.3380	19.35
0.6900	1.3450	19.34
0.6950	1.3520	19.81
0.7000	1.3600	19.97
0.7050	1.3670	19.55
0.7100	1.3740	19.58
0.7200	1.3890	19.55
0.7250	1.3960	18.87
0.7300	1.4040	19.14
0.7350	1.4110	19.36
0.7400	1.4180	19.38
0.7450	1.4260	19.55
0.7500	1.4330	19.49
0.7550	1.4400	19.03
0.7600	1.4470	19.19
0.7650	1.4550	18.75
0.7700	1.4620	18.85
0.7750	1.4690	19.16
0.7800	1.4770	19.30
0.7850	1.4840	19.07
0.7900	1.4910	19.69
0.7950	1.4990	19.31
0.8000	1.5060	18.98
0.8050	1.5160	19.24
0.8100	1.5270	19.26
0.8150	1.5370	19.02
0.8200	1.5470	19.13
0.8250	1.5580	19.05
0.8300	1.5680	19.18
0.8350	1.5780	19.42
0.8400	1.5890	19.38
0.8450	1.5990	19.07
0.8500	1.6090	19.03
0.8550	1.6200	19.07
0.8600	1.6300	18.92
0.8650	1.6410	19.02
0.8700	1.6510	19.04
0.8750	1.6610	19.33
0.8800	1.6720	19.17
0.8850	1.6820	19.67
0.8900	1.6920	19.03
0.8950	1.7030	19.13
0.9050	1.7230	18.76
0.9100	1.7340	18.85
0.9150	1.7440	18.99
0.9200	1.7540	18.89
0.9250	1.7650	18.81
0.9300	1.7750	19.10
0.9350	1.7850	19.59
0.9400	1.7960	19.01
0.9450	1.8060	19.08
0.9500	1.8160	19.11
0.9550	1.8270	19.49
0.9600	1.8370	19.45
0.9650	1.8480	19.08
0.9700	1.8580	18.95
0.9750	1.8680	18.62
0.9800	1.8790	19.24
0.9850	1.8890	19.03
0.9900	1.8990	18.98
0.9950	1.9100	18.58
1.0000	1.9200	18.90
1.0050	1.9300	19.01
1.0100	1.9410	19.26
1.0150	1.9510	19.00
1.0200	1.9610	19.24
1.0250	1.9720	19.32
1.0300	1.9820	19.58
1.0350	1.9920	19.19
1.0400	2.0030	19.10
1.0450	2.0130	18.89
1.0500	2.0240	19.30
1.0550	2.0340	19.24
1.0600	2.0440	18.88
1.0650	2.0550	19.00
1.0700	2.0650	19.17
1.0750	2.0750	19.17
1.0800	2.0860	19.38
1.0850	2.0960	19.67
1.0900	2.1060	18.97
1.0950	2.1170	19.25
1.1000	2.1270	19.40
1.1050	2.1370	20.49
1.1100	2.1480	19.80
1.1150	2.1580	19.78
1.1200	2.1680	19.33
1.1250	2.1790	20.00
1.1300	2.1890	20.12
1.1350	2.1990	19.55
1.1400	2.2100	19.57
1.1450	2.2200	19.30
1.1500	2.2310	19.66
1.1550	2.2410	19.20
1.1600	2.2510	19.61
1.1650	2.2620	19.53
1.1700	2.2720	19.49
1.1750	2.2820	19.11
1.1800	2.2930	19.56
1.1850	2.3030	19.42
1.1900	2.3130	19.33
1.1950	2.3240	19.48
1.2000	2.3340	20.62
1.2050	2.3430	19.56
1.2100	2.3520	19.57
1.2150	2.3610	19.60
1.2200	2.3700	19.61
1.2250	2.3790	19.55
1.2300	2.3880	19.07
1.2350	2.3970	19.18
1.2400	2.4050	19.73
1.2450	2.4140	19.14
1.2500	2.4230	19.25
1.2550	2.4320	19.68
1.2600	2.4410	19.35
1.2650	2.4500	19.66
1.2700	2.4590	19.46
1.2800	2.4770	19.41
1.2850	2.4860	19.29
1.2900	2.4950	19.35
1.2950	2.5040	19.30
1.3000	2.5130	19.58
1.3050	2.5220	19.18
1.3100	2.5310	19.50
1.3150	2.5390	19.30
1.3200	2.5480	19.40
1.3250	2.5570	19.54
1.3300	2.5660	19.47
1.3350	2.5750	18.95
1.3400	2.5840	19.25
1.3450	2.5930	19.28
1.3500	2.6020	19.35
1.3550	2.6110	19.30
1.3700	2.6380	19.72
1.3750	2.6470	19.45
1.3800	2.6560	19.37
1.3850	2.6650	19.35
1.3900	2.6730	19.20
1.3950	2.6820	19.74
1.4000	2.6910	19.31
1.4050	2.7000	19.36
1.4100	2.7090	19.87
1.4150	2.7180	19.73
1.4200	2.7270	20.01
1.4250	2.7360	19.55
1.4300	2.7450	19.24
1.4400	2.7630	19.53
1.4450	2.7720	19.00
1.4500	2.7810	19.14
1.4550	2.7900	19.10
1.4600	2.7990	18.79
1.4650	2.8070	18.56
1.4700	2.8160	19.42
1.4750	2.8250	19.24
1.4800	2.8340	19.29
1.4850	2.8430	19.56
1.4900	2.8520	19.39
1.4950	2.8610	19.20
1.5000	2.8700	19.36
1.5050	2.8790	19.30
1.5100	2.8880	18.89
1.5150	2.8970	19.16
1.5200	2.9060	19.14
1.5250	2.9150	19.09
1.5300	2.9240	19.31
1.5350	2.9330	19.03
1.5400	2.9410	19.30
1.5450	2.9500	19.16
1.5500	2.9590	19.30
1.5550	2.9680	19.28
1.5600	2.9770	18.96
1.5650	2.9860	18.93
1.5700	2.9950	19.34
1.5750	3.0040	19.33
1.5800	3.0130	18.81
1.5850	3.0220	19.12
1.5900	3.0310	19.02
1.5950	3.0400	18.69
1.6000	3.0490	18.90
1.6050	3.0580	19.23
1.6100	3.0670	18.93
1.6150	3.0750	18.92
1.6200	3.0840	19.02
1.6250	3.0930	19.31
1.6300	3.1020	19.32
1.6350	3.1110	19.05
1.6400	3.1200	19.30
1.6450	3.1290	19.40
1.6500	3.1380	19.32
1.6550	3.1470	19.45
1.6600	3.1560	19.51
1.6650	3.1650	19.63
1.6700	3.1740	19.89
1.6750	3.1830	19.77
1.6800	3.1920	19.71
1.6850	3.2010	19.51
1.6900	3.2090	19.72
1.6950	3.2180	19.85
1.7000	3.2270	19.83
1.7050	3.2360	19.79
1.7100	3.2450	19.51
1.7150	3.2540	19.82
1.7200	3.2630	19.34
1.7250	3.2720	20.26
1.7300	3.2810	19.55
1.7350	3.2900	19.60
1.7400	3.2990	19.99
1.7450	3.3080	19.84
1.7500	3.3170	19.66
1.7550	3.3260	19.86
1.7600	3.3350	19.38
1.7650	3.3430	19.51
1.7700	3.3520	19.11
1.7750	3.3610	18.99
1.7800	3.3700	19.22
1.7850	3.3790	19.69
1.7900	3.3880	20.01
1.7950	3.3970	20.18
1.8000	3.4060	19.68
1.8050	3.4150	19.81
1.8100	3.4230	19.72
1.8150	3.4320	20.31
1.8200	3.4410	19.66
1.8250	3.4500	20.13
1.8300	3.4580	20.10
1.8350	3.4670	20.30
1.8400	3.4760	20.30
1.8450	3.4840	19.99
1.8500	3.4930	19.90
1.8550	3.5020	20.13
1.8600	3.5110	19.68
1.8650	3.5190	20.02
1.8700	3.5280	20.27
1.8750	3.5370	20.07
1.8800	3.5450	20.06
1.8850	3.5540	19.99
1.8900	3.5630	20.32
1.8950	3.5720	20.14
1.9000	3.5800	20.02
1.9050	3.5890	19.80
1.9100	3.5980	19.58
1.9150	3.6060	19.73
1.9200	3.6150	20.14
1.9250	3.6240	19.99
1.9300	3.6330	19.88
1.9350	3.6410	19.97
1.9400	3.6500	20.01
1.9450	3.6590	20.01
1.9500	3.6670	19.59
1.9550	3.6760	19.82
1.9600	3.6850	20.02
1.9650	3.6940	19.69
1.9700	3.7020	19.53
1.9750	3.7110	19.51
1.9800	3.7200	19.66
1.9850	3.7290	19.42
1.9900	3.7370	19.64
1.9950	3.7460	19.69
2.0000	3.7550	19.83
2.0050	3.7630	20.14
2.0100	3.7720	19.44
2.0150	3.7810	19.42
2.0200	3.7900	19.29
2.0250	3.7980	19.15
2.0300	3.8070	19.23
2.0350	3.8160	19.39
2.0400	3.8240	19.50
2.0450	3.8330	19.27
2.0500	3.8420	19.21
2.0550	3.8510	19.73
2.0600	3.8590	19.53
2.0650	3.8680	19.64
2.0700	3.8770	19.62
2.0750	3.8850	19.53
2.0800	3.8940	19.55
2.0850	3.9030	19.41
2.0900	3.9120	19.82
2.0950	3.9200	19.50
2.1000	3.9290	19.35
2.1050	3.9380	19.33
2.1100	3.9460	19.39
2.1150	3.9550	19.29
2.1200	3.9640	19.25
2.1250	3.9730	19.73
2.1300	3.9810	19.48
2.1350	3.9900	19.22
2.1400	3.9990	18.80
2.1450	4.0070	19.84
2.1500	4.0160	19.77
2.1550	4.0250	19.21
2.1600	4.0340	19.32
2.1650	4.0420	19.31
2.1700	4.0510	19.08
2.1750	4.0600	19.23
2.1800	4.0680	19.14
2.1850	4.0770	19.16
2.1900	4.0860	19.59
2.1950	4.0950	18.95
2.2000	4.1030	19.07
2.2050	4.1120	19.20
2.2100	4.1210	18.90
2.2150	4.1290	19.41
2.2200	4.1380	18.87
2.2250	4.1470	19.03
2.2300	4.1560	19.08
2.2400	4.1730	19.15
2.2450	4.1820	19.39
2.2500	4.1900	19.33
2.2550	4.1990	19.39
2.2600	4.2080	19.37
2.2650	4.2170	19.39
2.2700	4.2250	19.19
2.2800	4.2430	19.47
2.2850	4.2520	19.29
2.2900	4.2600	19.30
2.2950	4.2690	19.15
2.3000	4.2780	19.44
2.3050	4.2860	19.34
2.3100	4.2950	19.37
2.3150	4.3040	19.17
2.3200	4.3130	19.05
2.3250	4.3210	19.05
2.3300	4.3300	19.25
2.3350	4.3390	19.57
2.3400	4.3470	19.78
2.3450	4.3560	19.66
2.3500	4.3650	19.35
2.3550	4.3740	19.70
2.3600	4.3820	19.07
2.3650	4.3910	19.79
2.3700	4.4000	19.66
2.3800	4.4170	19.53
2.3850	4.4260	19.61
2.3900	4.4350	18.88
2.3950	4.4430	19.46
2.4000	4.4520	19.07
2.4050	4.4660	19.73
2.4100	4.4810	19.73
2.4150	4.4950	19.62
2.4200	4.5100	19.33
2.4250	4.5240	19.35
2.4300	4.5380	19.61
2.4350	4.5530	19.58
2.4400	4.5670	19.80
2.4450	4.5820	19.94
2.4500	4.5960	19.34
2.4550	4.6100	18.94
2.4600	4.6250	19.42
2.4650	4.6390	19.71
2.4700	4.6540	18.92
2.4750	4.6680	19.78
2.4850	4.6970	19.22
2.4950	4.7260	19.40
2.5000	4.7400	20.11
2.5050	4.7540	19.75
2.5100	4.7690	19.85
2.5150	4.7830	19.57
2.5200	4.7980	20.16
2.5250	4.8120	19.81
2.5300	4.8260	19.86
2.5350	4.8410	19.53
2.5400	4.8550	19.42
2.5450	4.8700	19.64
2.5500	4.8840	19.07
2.5550	4.8980	19.43
2.5600	4.9130	19.34
2.5650	4.9270	19.81
2.5700	4.9420	19.98
2.5750	4.9560	19.96
2.5800	4.9700	19.79
2.5850	4.9850	19.62
2.5900	4.9990	19.51
2.5950	5.0140	20.15
2.6000	5.0280	19.97
2.6050	5.0420	19.95
2.6100	5.0570	20.19
2.6150	5.0710	19.62
2.6200	5.0860	19.73
2.6250	5.1000	19.56
2.6300	5.1140	20.19
2.6350	5.1290	20.00
2.6400	5.1430	19.28
2.6550	5.1860	20.11
2.6600	5.2010	20.84
2.6650	5.2150	20.83
2.6700	5.2300	20.07
2.6750	5.2440	20.84
2.6800	5.2580	19.74
2.6850	5.2730	19.23
2.6900	5.2870	19.99
2.6950	5.3020	19.66
2.7000	5.3160	20.51
2.7100	5.3450	20.15
2.7150	5.3590	19.75
2.7200	5.3740	20.17
2.7350	5.4170	20.11
2.7400	5.4310	20.60
2.7450	5.4460	20.56
2.7500	5.4600	20.08
2.7550	5.4740	20.39
2.7600	5.4890	19.89
2.7650	5.5030	20.78
2.7700	5.5180	20.04
2.7750	5.5320	20.42
2.7800	5.5460	19.72
2.7900	5.5750	20.72
2.7950	5.5900	20.59
2.8000	5.6040	20.32
2.8150	5.6470	20.48
2.8200	5.6620	20.24
2.8250	5.6760	20.15
2.8350	5.7050	20.47
2.8400	5.7190	20.43
2.8450	5.7340	19.98
2.8500	5.7480	20.60
2.8550	5.7620	20.09
2.8650	5.7910	20.63
2.8700	5.8060	21.59
2.8750	5.8200	19.94
2.8800	5.8340	20.78
2.8850	5.8490	20.09
2.8900	5.8630	19.99
2.8950	5.8780	19.74
2.9000	5.8920	19.53
2.9100	5.9210	19.38
2.9200	5.9500	19.70
2.9250	5.9640	19.60
2.9300	5.9780	19.21
2.9350	5.9930	19.19
2.9400	6.0070	19.49
2.9450	6.0220	19.40
2.9500	6.0360	20.64
2.9550	6.0500	19.41
2.9600	6.0650	19.83
2.9650	6.0790	19.88
2.9700	6.0940	19.77
2.9750	6.1080	19.55
2.9900	6.1510	19.79
2.9950	6.1660	20.01
3.0000	6.1800	19.83
3.0050	6.1920	19.43
3.0100	6.2050	19.10
3.0150	6.2170	19.67
3.0200	6.2290	19.51
3.0250	6.2410	20.05
3.0300	6.2540	19.75
3.0350	6.2660	19.71
3.0400	6.2780	19.70
3.0450	6.2910	19.56
3.0550	6.3150	19.94
3.0600	6.3270	19.45
3.0650	6.3400	19.57
3.0700	6.3520	19.56
3.0750	6.3640	19.78
3.0800	6.3770	19.39
3.0850	6.3890	19.61
3.0950	6.4140	19.38
3.1000	6.4260	19.58
3.1050	6.4380	19.41
3.1100	6.4500	20.59
3.1150	6.4630	19.93
3.1200	6.4750	20.04
3.1250	6.4870	19.49
3.1300	6.5000	19.03
3.1350	6.5120	19.67
3.1450	6.5360	19.32
3.1500	6.5490	19.87
3.1550	6.5610	19.90
3.1600	6.5730	19.72
3.1650	6.5860	19.11
3.1700	6.5980	19.89
3.1750	6.6100	20.08
3.1800	6.6220	19.47
3.1850	6.6350	19.51
3.1900	6.6470	20.04
3.1950	6.6590	19.90
3.2000	6.6720	20.19
3.2050	6.6840	20.51
3.2100	6.6960	20.15
3.2150	6.7090	20.26
3.2200	6.7210	20.37
3.2250	6.7330	20.40
3.2300	6.7450	20.04
3.2350	6.7580	20.40
3.2400	6.7700	20.20
3.2500	6.7950	19.87
3.2550	6.8070	20.31
3.2600	6.8190	19.51
3.2650	6.8310	19.88
3.2700	6.8440	19.92
3.2750	6.8560	19.90
3.2800	6.8680	19.75
3.2850	6.8810	19.10
3.2900	6.8930	19.43
3.2950	6.9050	19.70
3.3000	6.9170	20.01
3.3050	6.9300	20.02
3.3100	6.9420	19.81
3.3150	6.9540	18.97
3.3200	6.9670	19.78
3.3250	6.9790	19.49
3.3300	6.9910	19.86
3.3350	7.0040	19.63
3.3400	7.0160	20.65
3.3450	7.0280	19.35
3.3500	7.0400	20.50
3.3550	7.0530	19.69
3.3600	7.0650	19.40
3.3650	7.0770	20.06
3.3700	7.0900	19.72
3.3750	7.1020	19.58
3.3800	7.1140	19.07
3.3850	7.1260	19.94
3.3900	7.1390	19.53
3.3950	7.1510	19.73
3.4000	7.1630	19.54
3.4050	7.1760	19.79
3.4100	7.1880	19.64
3.4200	7.2130	19.80
3.4250	7.2250	20.26
3.4300	7.2370	20.03
3.4350	7.2490	19.42
3.4450	7.2740	19.98
3.4500	7.2860	19.85
3.4550	7.2990	20.02
3.4650	7.3230	19.40
3.4800	7.3600	19.43
3.4850	7.3720	19.18
3.4900	7.3850	19.09
3.4950	7.3970	19.82
3.5000	7.4090	19.63
3.5050	7.4210	19.34
3.5100	7.4340	19.54
3.5150	7.4460	19.34
3.5200	7.4580	19.48
3.5300	7.4830	19.87
3.5350	7.4950	19.50
3.5400	7.5080	19.82
3.5500	7.5320	19.45
3.5550	7.5440	19.59
3.5600	7.5570	19.44
3.5650	7.5690	19.98
3.5700	7.5810	19.09
3.5750	7.5940	19.40
3.5900	7.6300	19.22
3.5950	7.6430	19.43
3.6150	7.6940	19.27
3.6200	7.7080	18.93
3.6250	7.7210	19.01
3.6300	7.7340	19.08
3.6350	7.7470	19.18
3.6400	7.7600	19.31
3.6450	7.7730	19.38
3.6550	7.7990	19.10
3.6600	7.8120	19.49
3.6650	7.8260	19.15
3.6900	7.8910	19.19
3.6950	7.9040	19.63
3.7000	7.9170	20.00
3.7150	7.9570	19.72
3.7250	7.9830	19.35
3.7300	7.9960	19.84
3.7400	8.0220	19.38
3.7550	8.0620	19.35
3.7600	8.0750	19.58
3.7650	8.0880	18.65
3.7700	8.1010	18.96
3.7750	8.1140	19.14
3.7800	8.1280	19.28
3.7950	8.1670	19.02
3.8050	8.1930	18.87
3.8100	8.2060	19.26
3.8150	8.2190	18.78
3.8200	8.2330	19.04
3.8250	8.2460	19.17
3.8300	8.2590	18.74
3.8350	8.2720	19.16
3.8400	8.2850	19.42
3.8450	8.2980	18.77
3.8550	8.3240	19.46
3.8600	8.3380	19.45
3.8650	8.3510	18.70
3.8700	8.3640	18.53
3.8850	8.4030	18.37
3.8900	8.4160	19.61
3.9000	8.4420	19.06
3.9050	8.4560	18.58
3.9100	8.4690	18.75
3.9150	8.4820	18.44
3.9200	8.4950	19.22
3.9250	8.5080	18.56
3.9300	8.5210	18.35
3.9350	8.5340	18.44
3.9400	8.5480	18.76
3.9450	8.5610	18.73
3.9500	8.5740	18.60
3.9550	8.5870	18.86
3.9600	8.6000	18.98
3.9650	8.6130	19.34
3.9700	8.6260	18.14
3.9850	8.6660	19.06
4.0300	8.7840	18.87
4.0500	8.8360	19.11
4.0550	8.8490	19.03
4.0600	8.8630	19.09
4.0650	8.8760	18.63
4.0700	8.8890	18.64
4.0750	8.9020	18.92
4.0800	8.9150	18.04
4.1000	8.9670	19.00
4.1050	8.9810	18.77
4.1150	9.0070	18.35
4.1200	9.0200	18.92
4.1250	9.0330	18.71
4.1350	9.0590	18.80
4.1450	9.0860	19.16
4.1550	9.1120	18.87
4.1600	9.1250	18.70
4.1650	9.1380	18.99
4.1700	9.1510	18.20
4.1750	9.1640	18.94
4.1800	9.1780	18.19
4.1850	9.1910	18.69
4.1900	9.2040	18.20
4.1950	9.2170	18.86
4.2000	9.2300	18.84
4.2050	9.2360	18.79
4.2100	9.2410	18.01
4.2150	9.2470	17.71
4.2200	9.2520	18.04
4.2250	9.2580	18.03
4.2300	9.2630	18.66
4.2350	9.2690	18.10
4.2400	9.2740	18.34
4.2500	9.2850	19.01
4.2550	9.2910	19.09
4.2600	9.2960	19.16
4.2700	9.3070	19.12
4.2750	9.3130	19.62
4.2800	9.3180	19.05
4.2850	9.3240	18.60
4.2900	9.3290	18.66
4.3000	9.3400	18.94
4.3050	9.3460	21.76
4.3100	9.3510	19.37
4.3150	9.3570	19.29
4.3200	9.3620	18.75
4.3300	9.3730	20.60
4.3350	9.3790	19.95
4.3400	9.3840	18.02
4.3450	9.3900	19.41
4.3500	9.3960	18.84
4.3550	9.4010	18.61
4.3600	9.4070	18.34
4.3650	9.4120	18.69
4.3700	9.4180	20.94
4.3750	9.4230	18.11
4.3800	9.4290	18.49
4.3850	9.4340	18.01
4.3950	9.4450	18.64
4.4000	9.4510	19.43
4.4050	9.4560	20.28
4.4100	9.4620	18.58
4.4150	9.4670	19.06
4.4200	9.4730	18.74
4.4250	9.4780	19.09
4.4300	9.4840	20.09
4.4350	9.4890	19.59
4.4400	9.4950	18.97
4.4450	9.5000	19.10
4.4500	9.5060	17.94
4.4550	9.5110	18.90
4.4600	9.5170	19.12
4.4650	9.5220	20.25
4.4700	9.5280	18.22
4.4750	9.5330	19.19
4.4800	9.5390	18.95
4.4850	9.5450	20.47
4.4900	9.5500	19.44
4.4950	9.5560	20.00
4.5000	9.5610	19.42
4.5050	9.5670	19.10
4.5100	9.5720	19.40
4.5150	9.5780	18.80
4.5200	9.5830	18.77
4.5250	9.5890	19.65
4.5300	9.5940	18.72
4.5350	9.6000	19.39
4.5400	9.6050	19.94
